Study Name	W_beamline_2018_02_01
Sample Name	3.7MeV_He_in_W
Run Name	run02
Operator	Cody
Date	2/1/2018
Time	10:34 AM
Sign	NEG
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	21
dt	50.000001E-12
time stamp (ms)	10:46:46 AM
	
Time	Amplitude
2.165000E-8	1.409996E-3
2.170000E-8	1.226680E-3
2.175000E-8	9.953924E-4
2.180000E-8	6.955754E-4
2.185000E-8	2.895376E-4
2.190000E-8	-2.535595E-4
2.195000E-8	-9.645541E-4
2.200000E-8	-1.696108E-3
2.205000E-8	-2.360845E-3
2.210000E-8	-3.015302E-3
2.215000E-8	-3.638922E-3
2.220000E-8	-4.173453E-3
2.225000E-8	-4.646307E-3
2.230000E-8	-5.064337E-3
2.235000E-8	-5.412125E-3
2.240000E-8	-5.710229E-3
2.245000E-8	-5.963788E-3
2.250000E-8	-6.093995E-3
2.255000E-8	-6.051164E-3
2.260000E-8	-5.931237E-3
2.265000E-8	-5.723935E-3
2.270000E-8	-5.324750E-3
2.275000E-8	-4.754241E-3
2.280000E-8	-4.089504E-3
2.285000E-8	-3.339105E-3
2.290000E-8	-2.477345E-3
2.295000E-8	-1.596740E-3
2.300000E-8	-7.041416E-4
2.305000E-8	2.449933E-4
2.310000E-8	1.199268E-3
2.315000E-8	2.054175E-3
2.320000E-8	2.843978E-3
2.325000E-8	3.556686E-3
2.330000E-8	4.086077E-3
2.335000E-8	4.427012E-3
2.340000E-8	4.649733E-3
2.345000E-8	4.726829E-3
2.350000E-8	4.603476E-3
2.355000E-8	4.240269E-3
2.360000E-8	3.608083E-3
2.365000E-8	2.749750E-3
2.370000E-8	1.771490E-3
2.375000E-8	7.418329E-4
2.380000E-8	-3.152362E-4
2.385000E-8	-1.356886E-3
2.390000E-8	-2.283749E-3
2.395000E-8	-3.099251E-3
2.400000E-8	-3.863356E-3
2.405000E-8	-4.524667E-3
2.410000E-8	-5.033499E-3
2.415000E-8	-5.367581E-3
2.420000E-8	-5.538905E-3
2.425000E-8	-5.550897E-3
2.430000E-8	-5.444677E-3
2.435000E-8	-5.266500E-3
2.440000E-8	-5.000947E-3
2.445000E-8	-4.630888E-3
2.450000E-8	-4.182019E-3
2.455000E-8	-3.688606E-3
2.460000E-8	-3.109531E-3
2.465000E-8	-2.491051E-3
2.470000E-8	-1.864005E-3
2.475000E-8	-1.159863E-3
2.480000E-8	-2.878243E-4
2.485000E-8	5.687957E-4
2.490000E-8	1.303776E-3
2.495000E-8	1.973652E-3
2.500000E-8	2.559580E-3
2.505000E-8	2.999883E-3
