Study Name	W_beamline_2018_02_01
Sample Name	3.7MeV_He_in_W
Run Name	run02
Operator	Cody
Date	2/1/2018
Time	10:34 AM
Sign	POS
Grating Spacing	04.53um
Channel	2
Number Traces	1000
Files in Batch	0
Batch Number	375
dt	50.000001E-12
time stamp (ms)	2:15:44 PM
	
Time	Amplitude
1.705000E-8	8.405155E-3
1.710000E-8	9.105870E-3
1.715000E-8	9.717497E-3
1.720000E-8	1.031370E-2
1.725000E-8	1.083796E-2
1.730000E-8	1.118232E-2
1.735000E-8	1.138277E-2
1.740000E-8	1.152497E-2
1.745000E-8	1.153010E-2
1.750000E-8	1.127997E-2
1.755000E-8	1.081911E-2
1.760000E-8	1.028801E-2
1.765000E-8	9.657534E-3
1.770000E-8	8.804340E-3
1.775000E-8	7.800382E-3
1.780000E-8	6.852960E-3
1.785000E-8	5.953509E-3
1.790000E-8	4.985528E-3
1.795000E-8	4.020974E-3
1.800000E-8	3.215751E-3
1.805000E-8	2.554441E-3
1.810000E-8	1.903410E-3
1.815000E-8	1.295209E-3
1.820000E-8	8.720391E-4
1.825000E-8	6.681636E-4
1.830000E-8	6.441782E-4
1.835000E-8	8.189287E-4
1.840000E-8	1.223253E-3
1.845000E-8	1.792049E-3
1.850000E-8	2.449933E-3
1.855000E-8	3.220891E-3
1.860000E-8	4.111776E-3
1.865000E-8	5.033499E-3
1.870000E-8	5.895259E-3
1.875000E-8	6.691915E-3
1.880000E-8	7.414903E-3
1.885000E-8	8.033382E-3
1.890000E-8	8.478825E-3
1.895000E-8	8.794061E-3
1.900000E-8	9.020208E-3
1.905000E-8	9.119576E-3
1.910000E-8	9.054473E-3
1.915000E-8	8.922554E-3
1.920000E-8	8.783781E-3
1.925000E-8	8.521656E-3
1.930000E-8	8.072787E-3
1.935000E-8	7.491998E-3
1.940000E-8	6.839254E-3
1.945000E-8	6.100847E-3
1.950000E-8	5.336742E-3
1.955000E-8	4.594910E-3
1.960000E-8	3.866783E-3
1.965000E-8	3.159214E-3
1.970000E-8	2.444793E-3
1.975000E-8	1.709813E-3
1.980000E-8	1.086194E-3
1.985000E-8	6.681636E-4
1.990000E-8	3.340818E-4
1.995000E-8	6.167664E-5
2.000000E-8	-6.852960E-6
2.005000E-8	1.096474E-4
2.010000E-8	2.535595E-4
2.015000E-8	4.540086E-4
2.020000E-8	8.257817E-4
2.025000E-8	1.327761E-3
2.030000E-8	1.887990E-3
2.035000E-8	2.537308E-3
2.040000E-8	3.260296E-3
2.045000E-8	4.024401E-3
2.050000E-8	4.824484E-3
2.055000E-8	5.662258E-3
2.060000E-8	6.500032E-3
2.065000E-8	7.291549E-3
2.070000E-8	7.958000E-3
2.075000E-8	8.489104E-3
2.080000E-8	8.924267E-3
2.085000E-8	9.162407E-3
2.090000E-8	9.069892E-3
2.095000E-8	8.756369E-3
2.100000E-8	8.360611E-3
2.105000E-8	7.745558E-3
2.110000E-8	6.844394E-3
2.115000E-8	5.900398E-3
2.120000E-8	5.028359E-3
2.125000E-8	4.065518E-3
2.130000E-8	2.962192E-3
2.135000E-8	1.850299E-3
2.140000E-8	8.343479E-4
2.145000E-8	-8.908848E-5
2.150000E-8	-9.063039E-4
2.155000E-8	-1.596740E-3
2.160000E-8	-2.078160E-3
2.165000E-8	-2.249484E-3
2.170000E-8	-2.144976E-3
2.175000E-8	-1.829740E-3
2.180000E-8	-1.233533E-3
2.185000E-8	-3.666334E-4
2.190000E-8	5.807883E-4
2.195000E-8	1.521357E-3
2.200000E-8	2.523602E-3
2.205000E-8	3.534414E-3
2.210000E-8	4.401313E-3
2.215000E-8	5.115735E-3
2.220000E-8	5.710229E-3
2.225000E-8	6.148818E-3
2.230000E-8	6.426363E-3
2.235000E-8	6.580555E-3
2.240000E-8	6.619959E-3
2.245000E-8	6.587408E-3
2.250000E-8	6.510312E-3
2.255000E-8	6.397238E-3
2.260000E-8	6.249899E-3
2.265000E-8	6.099134E-3
2.270000E-8	5.886692E-3
2.275000E-8	5.602295E-3
2.280000E-8	5.335029E-3
2.285000E-8	5.036925E-3
2.290000E-8	4.591483E-3
2.295000E-8	4.029540E-3
2.300000E-8	3.440186E-3
2.305000E-8	2.760030E-3
2.310000E-8	1.956520E-3
2.315000E-8	1.159863E-3
2.320000E-8	4.557218E-4
2.325000E-8	-1.798902E-4
2.330000E-8	-7.418329E-4
2.335000E-8	-1.110179E-3
2.340000E-8	-1.226680E-3
2.345000E-8	-1.156437E-3
2.350000E-8	-9.868262E-4
2.355000E-8	-6.784430E-4
2.360000E-8	-1.696108E-4
2.365000E-8	5.328176E-4
2.370000E-8	1.427129E-3
2.375000E-8	2.482485E-3
2.380000E-8	3.628642E-3
2.385000E-8	4.733682E-3
2.390000E-8	5.737641E-3
2.395000E-8	6.642231E-3
2.400000E-8	7.435461E-3
2.405000E-8	8.084779E-3
2.410000E-8	8.567913E-3
2.415000E-8	8.845458E-3
2.420000E-8	8.924267E-3
2.425000E-8	8.842031E-3
2.430000E-8	8.583332E-3
2.435000E-8	8.115618E-3
2.440000E-8	7.526263E-3
2.445000E-8	6.906070E-3
2.450000E-8	6.152245E-3
2.455000E-8	5.213389E-3
2.460000E-8	4.195725E-3
2.465000E-8	3.198619E-3
2.470000E-8	2.206653E-3
2.475000E-8	1.247239E-3
2.480000E-8	4.094643E-4
2.485000E-8	-3.049567E-4
2.490000E-8	-9.594144E-4
2.495000E-8	-1.538489E-3
2.500000E-8	-1.934248E-3
2.505000E-8	-2.088440E-3
2.510000E-8	-2.031903E-3
2.515000E-8	-1.821174E-3
2.520000E-8	-1.391151E-3
2.525000E-8	-7.161343E-4
2.530000E-8	4.625748E-5
2.535000E-8	7.795242E-4
2.540000E-8	1.583034E-3
2.545000E-8	2.528742E-3
2.550000E-8	3.464171E-3
2.555000E-8	4.319078E-3
2.560000E-8	5.177411E-3
2.565000E-8	5.951796E-3
2.570000E-8	6.428076E-3
2.575000E-8	6.659364E-3
2.580000E-8	6.808416E-3
2.585000E-8	6.858100E-3
2.590000E-8	6.734746E-3
2.595000E-8	6.486326E-3
2.600000E-8	6.212208E-3
2.605000E-8	5.895259E-3
